temperature,humidity,time_of_day,energy_usage
25.13943344,43.4315812,1/1/2022 0:00,75.3643734
27.73165052,54.22591858,1/1/2022 1:00,83.40185495
28.70427686,58.90765774,1/1/2022 2:00,78.27088774
20.08046949,50.37163715,1/1/2022 3:00,56.51985049
23.09735926,51.40142134,1/1/2022 4:00,70.81173247
29.57603739,36.82426323,1/1/2022 5:00,84.32188519
25.13116712,35.70962155,1/1/2022 6:00,76.1657909
23.18284425,31.67991978,1/1/2022 7:00,74.13190618
25.39199937,46.39936405,1/1/2022 8:00,78.20623587
22.21254942,32.41846388,1/1/2022 9:00,77.9922137
28.06481358,36.45147179,1/1/2022 10:00,82.27443448
23.42254626,30.52734216,1/1/2022 11:00,73.2786695
25.38888849,47.60101803,1/1/2022 12:00,84.14477566
20.05873786,41.86164159,1/1/2022 13:00,60.02251856
26.73152478,37.29787045,1/1/2022 14:00,81.18318756
22.10024262,56.09917872,1/1/2022 15:00,74.08125629
29.32557593,56.95417357,1/1/2022 16:00,89.49820766
23.74244749,42.24584548,1/1/2022 17:00,72.87244264
27.52418922,47.17242968,1/1/2022 18:00,83.8998966
27.63139002,36.14029374,1/1/2022 19:00,82.0775794
28.70499455,59.93189479,1/1/2022 20:00,94.23628773
21.10111178,30.41800645,1/1/2022 21:00,59.67238043
23.0009198,43.63838293,1/1/2022 22:00,70.23522762
24.74905766,57.21684865,1/1/2022 23:00,78.39420777
26.72936719,46.19408777,1/2/2022 0:00,87.84164466
22.57592433,57.74957192,1/2/2022 1:00,72.92984426
27.0115132,52.63757188,1/2/2022 2:00,86.66909405
26.57000059,43.33031196,1/2/2022 3:00,80.41142776
21.82007758,56.85518813,1/2/2022 4:00,64.212098
23.22062993,46.07387943,1/2/2022 5:00,74.16033755
28.87537457,31.80313045,1/2/2022 6:00,81.04958057
20.83349161,51.14700702,1/2/2022 7:00,70.30817193
27.4656412,34.94099104,1/2/2022 8:00,82.28439185
20.62350049,50.14503354,1/2/2022 9:00,59.84739269
27.31481127,42.93605505,1/2/2022 10:00,82.50403686
27.42511355,32.39478807,1/2/2022 11:00,82.78244589
24.07915813,54.09504887,1/2/2022 12:00,74.67411328
29.91382999,53.34075279,1/2/2022 13:00,86.88913818
24.52137299,42.27647349,1/2/2022 14:00,78.54242642
21.89878543,48.63351463,1/2/2022 15:00,77.22845716
23.51626472,52.37155796,1/2/2022 16:00,73.73515146
27.14811666,43.12086624,1/2/2022 17:00,91.84340825
23.57435363,52.8516642,1/2/2022 18:00,73.35070513
20.51618554,40.91849971,1/2/2022 19:00,66.20209751
23.15919004,33.08814922,1/2/2022 20:00,77.85177635
29.98804612,51.19663001,1/2/2022 21:00,90.9814761
22.87904857,30.35776229,1/2/2022 22:00,81.91707933
24.61795871,49.04122555,1/2/2022 23:00,70.22461754
27.35268111,36.25924919,1/3/2022 0:00,88.73376918
29.43678951,48.84844941,1/3/2022 1:00,76.55502513
21.75402643,45.53864309,1/3/2022 2:00,62.05505494
22.12421376,47.34391566,1/3/2022 3:00,62.00189386
21.32477613,33.61505671,1/3/2022 4:00,80.45212742
22.08681192,43.83891693,1/3/2022 5:00,64.71822006
29.95687945,56.7888056,1/3/2022 6:00,91.87196451
22.46645832,45.22840942,1/3/2022 7:00,69.69226303
21.10053159,52.70577939,1/3/2022 8:00,63.85097613
25.02320238,43.58649903,1/3/2022 9:00,68.80528578
24.56121815,37.03931989,1/3/2022 10:00,76.30130929
27.34490229,33.68329829,1/3/2022 11:00,84.03868416
26.20943541,40.77160428,1/3/2022 12:00,77.67379217
26.21070227,42.08418296,1/3/2022 13:00,78.91225016
21.50172634,43.35331519,1/3/2022 14:00,64.04242488
25.38274546,51.90269995,1/3/2022 15:00,78.1872813
21.20347244,49.61036981,1/3/2022 16:00,63.39384819
21.53025522,42.01688339,1/3/2022 17:00,76.1061781
24.50178557,48.58331043,1/3/2022 18:00,60.14423798
24.29072347,36.98773403,1/3/2022 19:00,80.19264551
27.33662081,50.87667729,1/3/2022 20:00,86.22364507
20.7357155,48.50663624,1/3/2022 21:00,53.26327834
22.7878583,43.95104865,1/3/2022 22:00,64.96318367
21.65293775,56.13704538,1/3/2022 23:00,66.43892065
25.08088138,59.67153433,1/4/2022 0:00,75.91390632
25.79251153,33.89221588,1/4/2022 1:00,84.19146741
26.38607928,43.29577762,1/4/2022 2:00,75.25176382
22.14025704,49.42487794,1/4/2022 3:00,75.01447098
24.17577648,41.80015037,1/4/2022 4:00,69.36574478
24.66814181,43.14091042,1/4/2022 5:00,78.04604233
20.83069216,52.19017626,1/4/2022 6:00,67.48478775
25.70272908,53.31665482,1/4/2022 7:00,78.2542879
22.28517563,40.6599134,1/4/2022 8:00,74.84338094
20.3572972,52.95666984,1/4/2022 9:00,64.64191193
29.64529278,42.51360621,1/4/2022 10:00,89.0884343
20.74659947,39.36306812,1/4/2022 11:00,73.15432865
27.30480241,48.59586683,1/4/2022 12:00,72.11709861
25.02629924,48.0954382,1/4/2022 13:00,76.72156433
20.92610835,46.18534284,1/4/2022 14:00,65.97246107
25.23949354,43.07836641,1/4/2022 15:00,61.53670969
24.34217961,47.40595644,1/4/2022 16:00,77.38447784
25.48016407,55.32138506,1/4/2022 17:00,76.07661992
29.35006968,30.88538003,1/4/2022 18:00,74.86787369
29.95050303,42.42525805,1/4/2022 19:00,86.28935401
26.62318074,37.72919218,1/4/2022 20:00,83.87525695
23.54130272,34.53490594,1/4/2022 21:00,83.45804939
24.39157014,53.03415959,1/4/2022 22:00,81.9968284
27.75515877,39.84810667,1/4/2022 23:00,86.64692164
26.28690619,40.70675768,1/5/2022 0:00,75.98238075
20.97990921,58.11562861,1/5/2022 1:00,70.71436236
26.5158606,58.65666761,1/5/2022 2:00,81.74552951
29.68616008,33.99960255,1/5/2022 3:00,85.1825525
22.36951967,54.38705919,1/5/2022 4:00,75.29040593
23.92723747,53.67575902,1/5/2022 5:00,85.18197379
20.82665215,39.19961425,1/5/2022 6:00,72.76703721
28.235508,54.70047192,1/5/2022 7:00,81.81977545
22.89496304,54.11511641,1/5/2022 8:00,78.64588466
21.63998082,59.41123031,1/5/2022 9:00,66.95161484
21.6313505,50.47608151,1/5/2022 10:00,71.17906441
22.77963693,58.58018635,1/5/2022 11:00,63.8619102
20.07062523,54.00859281,1/5/2022 12:00,61.13094285
27.48755598,38.51450683,1/5/2022 13:00,79.72428614
28.53814894,49.96585219,1/5/2022 14:00,81.89398686
29.25702432,38.18426699,1/5/2022 15:00,85.36040307
23.02144912,47.87589415,1/5/2022 16:00,77.7764691
24.74130361,38.02144716,1/5/2022 17:00,87.7480046
27.40315468,33.03160263,1/5/2022 18:00,72.39601158
26.50637223,56.16762905,1/5/2022 19:00,69.56901196
22.67617722,47.26094947,1/5/2022 20:00,73.25221626
23.89271281,49.39507884,1/5/2022 21:00,75.81440197
29.05240879,39.08467957,1/5/2022 22:00,86.53486773
27.30842167,58.56743563,1/5/2022 23:00,81.19093783
20.76246135,30.50361681,1/6/2022 0:00,76.9364531
22.0627827,57.56876666,1/6/2022 1:00,64.59533738
28.88318386,39.63866759,1/6/2022 2:00,81.10901891
24.12705095,47.96403459,1/6/2022 3:00,70.25774285
22.04510998,33.3242579,1/6/2022 4:00,65.9814219
23.46931367,31.18500406,1/6/2022 5:00,76.19515389
24.12198922,36.22531925,1/6/2022 6:00,72.16382018
27.55284508,34.5381823,1/6/2022 7:00,74.11809532
21.33084051,36.9476702,1/6/2022 8:00,73.9281436
28.54821119,34.65484006,1/6/2022 9:00,80.51166203
23.79808176,59.35728859,1/6/2022 10:00,68.56408772
24.76878004,46.2216925,1/6/2022 11:00,71.42759361
21.30153697,52.10150863,1/6/2022 12:00,64.07696764
22.72197376,35.89964366,1/6/2022 13:00,57.48444204
29.45837972,56.40345029,1/6/2022 14:00,82.5977672
24.74355527,43.27952524,1/6/2022 15:00,77.5180513
21.52426617,33.25524914,1/6/2022 16:00,71.01713961
25.52147035,48.27578382,1/6/2022 17:00,64.69791036
26.20669205,46.43151995,1/6/2022 18:00,76.30888109
28.4902659,44.50404119,1/6/2022 19:00,80.00384749
24.28568824,39.68855487,1/6/2022 20:00,72.10407562
29.58086952,45.41719161,1/6/2022 21:00,93.78946764
21.956904,45.78312249,1/6/2022 22:00,78.13896312
25.16589294,39.60412762,1/6/2022 23:00,87.32448956
24.01594209,47.94053553,1/7/2022 0:00,74.17904404
22.78816375,34.07807564,1/7/2022 1:00,69.91514118
26.04089496,47.53823198,1/7/2022 2:00,91.5943548
20.79672417,34.41135637,1/7/2022 3:00,76.13895451
24.95147908,35.68303467,1/7/2022 4:00,70.97691338
24.74071986,46.13389978,1/7/2022 5:00,79.43394002
27.35805437,36.16290662,1/7/2022 6:00,77.65217035
22.93456303,34.016836,1/7/2022 7:00,74.11609389
22.17088873,41.10062847,1/7/2022 8:00,67.63764065
22.05580615,47.31027362,1/7/2022 9:00,72.59022722
29.82050358,37.0324497,1/7/2022 10:00,85.12072843
24.52923701,39.48944934,1/7/2022 11:00,76.92758508
29.58684969,53.87531481,1/7/2022 12:00,82.96293306
28.9610656,43.88354638,1/7/2022 13:00,77.22008603
24.40907037,43.31585057,1/7/2022 14:00,71.13106168
24.09961989,45.08272118,1/7/2022 15:00,69.27222198
26.60964172,59.72756653,1/7/2022 16:00,82.23684828
29.33981338,46.06150306,1/7/2022 17:00,83.33161599
28.04536975,39.32440919,1/7/2022 18:00,95.07096217
24.74475303,30.16745158,1/7/2022 19:00,79.8002501
24.93943614,40.48957381,1/7/2022 20:00,78.73050082
22.55395012,41.0481825,1/7/2022 21:00,85.42767735
26.07494158,35.51732088,1/7/2022 22:00,84.03168983
20.63269073,50.95243488,1/7/2022 23:00,72.89058362
25.71473454,42.29866537,1/8/2022 0:00,75.61498189
20.91479245,31.71009383,1/8/2022 1:00,71.78964722
25.20534149,48.64990088,1/8/2022 2:00,63.00815766
25.97652406,38.48415292,1/8/2022 3:00,94.55062457
27.72641369,53.33917902,1/8/2022 4:00,83.57683054
25.25112028,33.63497477,1/8/2022 5:00,84.69317341
26.39275138,52.9465257,1/8/2022 6:00,78.58613842
25.40366892,38.21610477,1/8/2022 7:00,75.64668455
22.65582435,54.16381829,1/8/2022 8:00,73.20686742
23.10978492,53.83190188,1/8/2022 9:00,74.33393532
24.43071128,37.29842102,1/8/2022 10:00,81.30053663
23.76846846,49.08568113,1/8/2022 11:00,78.22920749
25.6731838,55.43730018,1/8/2022 12:00,75.41031586
24.1287517,56.93177701,1/8/2022 13:00,71.18623046
29.53401925,35.29794527,1/8/2022 14:00,92.86092549
25.96679016,38.73382129,1/8/2022 15:00,82.10276684
24.74086027,45.39176156,1/8/2022 16:00,78.28652838
29.95499539,55.09653944,1/8/2022 17:00,86.08746919
22.25393777,39.75479364,1/8/2022 18:00,74.57680498
24.54321848,31.32913858,1/8/2022 19:00,90.53846529
24.34197661,43.53846921,1/8/2022 20:00,76.76832119
27.60557613,58.52258032,1/8/2022 21:00,86.41515216
25.71536181,57.64434178,1/8/2022 22:00,76.19438265
26.88056182,51.62348564,1/8/2022 23:00,76.93391964
24.11976441,41.22561416,1/9/2022 0:00,71.05504381
22.17423028,37.66492665,1/9/2022 1:00,77.39615133
21.46866746,34.52321016,1/9/2022 2:00,70.65426607
22.54704875,46.11825117,1/9/2022 3:00,67.8075495
23.95915996,31.20897742,1/9/2022 4:00,72.07174962
20.68444001,38.48799934,1/9/2022 5:00,59.60890189
28.00033639,57.80399003,1/9/2022 6:00,90.01159284
20.68728253,34.00230405,1/9/2022 7:00,73.37704701
20.37295544,49.62542405,1/9/2022 8:00,70.97874709
21.99294281,46.86319509,1/9/2022 9:00,74.37957432
22.22280235,50.01013663,1/9/2022 10:00,67.64237008
22.64655952,31.24166277,1/9/2022 11:00,71.5353959
20.14509495,54.1466994,1/9/2022 12:00,65.28898283
23.85243516,34.38852565,1/9/2022 13:00,72.43112713
26.82715303,52.87742398,1/9/2022 14:00,75.68903568
20.98349283,54.43680566,1/9/2022 15:00,71.77872061
26.94394101,31.95760009,1/9/2022 16:00,80.04392594
20.91870129,35.61912355,1/9/2022 17:00,75.3694377
28.79848358,37.71604787,1/9/2022 18:00,86.5505985
24.4803593,56.39299101,1/9/2022 19:00,71.9381497
25.64310242,51.8397139,1/9/2022 20:00,87.13708266
24.21717975,53.53776086,1/9/2022 21:00,73.58696137
28.03065679,30.40053419,1/9/2022 22:00,90.72509868
23.3656332,52.01581684,1/9/2022 23:00,72.99628149
23.26041505,50.94770949,1/10/2022 0:00,85.68075278
21.14941244,51.28670038,1/10/2022 1:00,69.30518445
28.17756623,41.06552863,1/10/2022 2:00,73.9998394
21.00449301,32.80371969,1/10/2022 3:00,70.28576214
20.95706615,54.45741561,1/10/2022 4:00,75.17636555
26.97011494,46.54399814,1/10/2022 5:00,86.71559756
29.38485263,49.77790579,1/10/2022 6:00,90.45215551
20.98606705,59.66964947,1/10/2022 7:00,64.36966291
22.93476989,50.51657628,1/10/2022 8:00,68.35678499
21.3018444,43.8944118,1/10/2022 9:00,70.38082621
23.97674187,53.50082641,1/10/2022 10:00,77.70804435
25.68058909,52.69300848,1/10/2022 11:00,68.52149457
28.29829485,45.3449309,1/10/2022 12:00,77.87769146
24.28433918,50.42035656,1/10/2022 13:00,77.73573441
27.76634288,58.50555771,1/10/2022 14:00,83.24548579
23.97321246,46.83211679,1/10/2022 15:00,80.30181828
24.69385893,39.95088081,1/10/2022 16:00,76.1119173
24.52415184,59.47546095,1/10/2022 17:00,64.04576015
22.34272772,35.84058972,1/10/2022 18:00,77.01609484
23.18850677,58.87111761,1/10/2022 19:00,78.73329793
29.72049067,32.42367573,1/10/2022 20:00,87.44225579
20.86510055,52.23935393,1/10/2022 21:00,72.43118969
26.32086544,30.71754452,1/10/2022 22:00,76.71624498
21.4254451,51.56712436,1/10/2022 23:00,67.8069676
25.10085139,36.13765007,1/11/2022 0:00,74.66520659
21.92645426,44.60597384,1/11/2022 1:00,77.02412226
20.25156964,54.34084196,1/11/2022 2:00,57.90048341
25.12261404,31.32321576,1/11/2022 3:00,73.95195603
24.44409974,44.29228906,1/11/2022 4:00,77.15892669
26.71812178,48.10132015,1/11/2022 5:00,93.00944697
22.4653627,43.03348624,1/11/2022 6:00,80.36211599
29.65988408,34.04228577,1/11/2022 7:00,92.52121147
24.29302166,32.05925208,1/11/2022 8:00,72.66316703
26.52703823,45.75926969,1/11/2022 9:00,78.20231068
26.9040665,30.24919989,1/11/2022 10:00,90.49170426
29.49047183,34.62720152,1/11/2022 11:00,76.68183998
26.70387505,38.37927804,1/11/2022 12:00,81.51851629
21.82934211,42.41534005,1/11/2022 13:00,67.3154283
26.50239154,53.38212898,1/11/2022 14:00,79.49660135
28.1269735,46.25417393,1/11/2022 15:00,86.4473386
